"","id","realtime_start","realtime_end","title","observation_start","observation_end","frequency","frequency_short","units","units_short","seasonal_adjustment","seasonal_adjustment_short","last_updated","popularity","group_popularity","notes"
"161","CUSR0000SEFP01","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Coffee in U.S. City Average","2003-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Seasonally Adjusted","SA","2023-12-12 07:42:08-06",23,26,NA
"162","APU000074717","2023-12-17","2023-12-17","Average Price: Automotive Diesel Fuel (Cost per Gallon/3.785 Liters) in U.S. City Average","1998-01-01","2023-11-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2023-12-12 09:04:18-06",23,23,"All automotive diesel fuel.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"163","APUS23B74716","2023-12-17","2023-12-17","Average Price: Gasoline, Unleaded Premium (Cost per Gallon/3.785 Liters) in Detroit-Warren-Dearborn, MI (CBSA)","1981-09-01","2023-11-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2023-12-12 09:04:20-06",23,23,"All unleaded premium gasoline.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"164","APU0000703432","2023-12-17","2023-12-17","Average Price: Beef for Stew, Boneless (Cost per Pound/453.6 Grams) in U.S. City Average","1991-01-01","2023-11-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2023-12-12 09:04:21-06",22,22,"Boneless beef for stew, regardless of grade or processing state. Includes organic, non-organic, fresh, and frozen.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"165","APU0000711412","2023-12-17","2023-12-17","Average Price: Lemons (Cost per Pound/453.6 Grams) in U.S. City Average","1980-01-01","2023-11-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2023-12-12 09:04:18-06",22,22,"All fresh lemons regardless of packaging or fresh processing. Includes organic and non-organic.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"166","MEDCPIM157SFRBCLE","2023-12-17","2023-12-17","Median Consumer Price Index","1983-01-01","2023-11-01","Monthly","M","Percent Change","% Chg.","Seasonally Adjusted","SA","2023-12-12 14:02:07-06",22,73,"Median Consumer Price Index (CPI) is a measure of core inflation calculated the Federal Reserve Bank of Cleveland and the Ohio State University. Median CPI was created as a different way to get a 'Core CPI' measure, or a better measure of underlying inflation trends. To calculate the Median CPI, the Cleveland Fed analyzes the median price change of the goods and services published by the BLS. The median price change is the price change that's right in the middle of the long list of all of the price changes. This series excludes 49.5% of the CPI components with the highest and lowest one-month price changes from each tail of the price-change distribution resulting in a Median CPI Inflation Estimate.

According to research from the Cleveland Fed, the Median CPI provides a better signal of the inflation trend than either the all-items CPI or the CPI excluding food and energy. According to newer research done at the Cleveland Fed, the Median CPI is even better at PCE inflation in the near and longer term than the core PCE.

For further information, visit The Federal Reserve Bank of Cleveland (https://www.clevelandfed.org/indicators-and-data/median-cpi#background)."
"167","DGDSRG3M086SBEA","2023-12-17","2023-12-17","Personal consumption expenditures: Goods (chain-type price index)","1959-01-01","2023-10-01","Monthly","M","Index 2017=100","Index 2017=100","Seasonally Adjusted","SA","2023-11-30 07:44:25-06",22,23,"BEA Account Code: DGDSRG
For more information about this series, please see http://www.bea.gov/national/."
"168","CUSR0000SEHF02","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Utility (Piped) Gas Service in U.S. City Average","1952-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Seasonally Adjusted","SA","2023-12-12 07:42:07-06",22,22,"The term ""utility (piped) gas service"" refers to natural gas."
"169","MEDCPIM094SFRBCLE","2023-12-17","2023-12-17","Median Consumer Price Index","1982-12-01","2023-11-01","Monthly","M","Index Dec 1982=100","Index Dec 1982=100","Seasonally Adjusted","SA","2023-12-12 14:02:08-06",22,73,"Median Consumer Price Index (CPI) is a measure of core inflation calculated the Federal Reserve Bank of Cleveland and the Ohio State University. Median CPI was created as a different way to get a 'Core CPI' measure, or a better measure of underlying inflation trends. To calculate the Median CPI, the Cleveland Fed analyzes the median price change of the goods and services published by the BLS. The median price change is the price change that's right in the middle of the long list of all of the price changes. This series excludes 49.5% of the CPI components with the highest and lowest one-month price changes from each tail of the price-change distribution resulting in a Median CPI Inflation Estimate.

According to research from the Cleveland Fed, the Median CPI provides a better signal of the inflation trend than either the all-items CPI or the CPI excluding food and energy. According to newer research done at the Cleveland Fed, the Median CPI is even better at PCE inflation in the near and longer term than the core PCE.

For further information, visit The Federal Reserve Bank of Cleveland (https://www.clevelandfed.org/indicators-and-data/median-cpi#background)."
"170","CUURA316SEHA","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Rent of Primary Residence in Dallas-Fort Worth-Arlington, TX (CBSA)","1963-11-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Not Seasonally Adjusted","NSA","2023-12-12 07:40:02-06",21,22,NA
"171","CPGRLE01USM657N","2023-12-17","2023-12-17","Consumer Price Index: OECD Groups: All Items Non-Food Non-Energy: Total for United States","1960-01-01","2023-10-01","Monthly","M","Growth rate previous period","Growth rate previous period","Not Seasonally Adjusted","NSA","2023-12-12 14:48:06-06",21,48,"OECD Descriptor ID: CPGRLE01
OECD unit ID: PC
OECD country ID: USA

All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database), https://dx.doi.org/10.1787/data-00052-en (Accessed on date) Copyright, 2016, OECD. Reprinted with permission"
"172","CUSR0000SAF111","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Cereals and Bakery Products in U.S. City Average","1989-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Seasonally Adjusted","SA","2023-12-12 07:42:09-06",21,24,NA
"173","APU00007471A","2023-12-17","2023-12-17","Average Price: Gasoline, All Types (Cost per Gallon/3.785 Liters) in U.S. City Average","1978-01-01","2023-11-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2023-12-12 09:04:19-06",21,21,"All unleaded gasoline, all grades.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"174","CUSR0000SAC","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Commodities in U.S. City Average","1956-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Seasonally Adjusted","SA","2023-12-12 07:41:10-06",21,21,NA
"175","CUSR0000SEEE01","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Computers, Peripherals, and Smart Home Assistants in U.S. City Average","2005-01-01","2023-11-01","Monthly","M","Index Dec 2007=100","Index Dec 2007=100","Seasonally Adjusted","SA","2023-12-12 07:42:08-06",21,24,NA
"176","APUS49A72610","2023-12-17","2023-12-17","Average Price: Electricity per Kilowatt-Hour in Los Angeles-Long Beach-Anaheim, CA (CBSA)","1978-11-01","2023-11-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2023-12-12 09:05:03-06",21,21,"All electricity.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"177","APU0000705121","2023-12-17","2023-12-17","Average Price: Bologna, All Beef or Mixed (Cost per Pound/453.6 Grams) in U.S. City Average","1980-01-01","2019-09-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2019-10-10 07:42:23-05",20,20,"Pre-packaged, all beef or mixed meat bologna, regardless of kosher status.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"178","CPILEGSL","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: All Items Less Energy in U.S. City Average","1957-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Seasonally Adjusted","SA","2023-12-12 07:41:12-06",20,21,"Handbook of Methods - (https://www.bls.gov/opub/hom/pdf/cpihom.pdf) Understanding the CPI: Frequently Asked Questions - (http://stats.bls.gov:80/cpi/cpifaq.htm)"
"179","APUS12A72610","2023-12-17","2023-12-17","Average Price: Electricity per Kilowatt-Hour in New York-Newark-Jersey City, NY-NJ-PA (CBSA)","1978-11-01","2023-11-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2023-12-12 09:05:02-06",20,20,"All electricity.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"180","CUUR0000SASLE","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Services Less Energy Services in U.S. City Average","1957-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Not Seasonally Adjusted","NSA","2023-12-12 07:41:10-06",20,62,NA
"181","STICKCPIM679SFRBATL","2023-12-17","2023-12-17","Sticky Price Consumer Price Index","1967-03-01","2023-11-01","Monthly","M","3-Month Annualized Percent Change","3-Month Annualized % Chg.","Seasonally Adjusted","SA","2023-12-12 12:01:08-06",20,63,"The Sticky Price Consumer Price Index (CPI) is calculated from a subset of goods and services included in the CPI that change price relatively infrequently. Because these goods and services change price relatively infrequently, they are thought to incorporate expectations about future inflation to a greater degree than prices that change on a more frequent basis. One possible explanation for sticky prices could be the costs firms incur when changing price.

To obtain more information about this release see: Michael F. Bryan, and Brent H. Meyer. “Are Some Prices in the CPI More Forward Looking Than Others? We Think So.” Economic Commentary (Federal Reserve Bank of Cleveland) (May 19, 2010): 1–6. https://doi.org/10.26509/frbc-ec-201002 (https://doi.org/10.26509/frbc-ec-201002)."
"182","CUUR0000SEMD","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Hospital and Related Services in U.S. City Average","1977-12-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Not Seasonally Adjusted","NSA","2023-12-12 07:42:08-06",20,23,NA
"183","APU0300714233","2023-12-17","2023-12-17","Average Price: Beans, Dried, Any Type, All Sizes (Cost per Pound/453.6 Grams) in the South Census Region - Urban","1995-07-01","2023-11-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2023-12-12 09:04:18-06",20,20,"Includes all dried organic and non-organic beans, regardless of package size.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"184","DPCCRGM1M225SBEA","2023-12-17","2023-12-17","Prices for Personal Consumption Expenditures: Chained Price Index: PCE excluding food and energy","1959-02-01","2023-10-01","Monthly","M","Percent Change from Preceding Period","% Chg. from Preceding Period","Seasonally Adjusted","SA","2023-11-30 07:44:25-06",20,19,"BEA Account Code: DPCCRGM
A Guide to the National Income and Product Accounts of the United States (NIPA) - (http://www.bea.gov/national/pdf/nipaguid.pdf)"
"185","CUUR0000SEAE","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Footwear in U.S. City Average","1947-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Not Seasonally Adjusted","NSA","2023-12-12 07:42:09-06",19,21,NA
"186","CUUR0200SA0","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: All Items in Midwest","1966-12-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Not Seasonally Adjusted","NSA","2023-12-12 07:42:09-06",19,19,NA
"187","WPU072B01","2023-12-17","2023-12-17","Producer Price Index by Commodity: Rubber and Plastic Products: All Other Consumer, Institutional, and Commercial Products","2006-12-01","2023-11-01","Monthly","M","Index Dec 2006=100","Index Dec 2006=100","Not Seasonally Adjusted","NSA","2023-12-13 07:52:13-06",19,19,NA
"188","CUUR0000SEFR02","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Candy and Chewing Gum in U.S. City Average","1997-12-01","2023-11-01","Monthly","M","Index Dec 1997=100","Index Dec 1997=100","Not Seasonally Adjusted","NSA","2023-12-12 07:42:07-06",19,19,NA
"189","APUS49E72620","2023-12-17","2023-12-17","Average Price: Utility (Piped) Gas per Therm in San Diego-Carlsbad, CA (CBSA)","1978-11-01","2023-11-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2023-12-12 09:05:03-06",19,19,"All piped gas.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"190","CUURA423SEHA","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Rent of Primary Residence in Seattle-Tacoma-Bellevue WA (CBSA)","1914-12-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Not Seasonally Adjusted","NSA","2023-12-12 07:41:10-06",19,19,NA
"191","CUURA423SA0","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: All Items in Seattle-Tacoma-Bellevue WA (CBSA)","1914-12-01","2023-10-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Not Seasonally Adjusted","NSA","2023-11-14 07:52:07-06",18,20,NA
"192","APU0000712406","2023-12-17","2023-12-17","Average Price: Peppers, Sweet (Cost per Pound/453.6 Grams) in U.S. City Average","1980-01-01","2020-03-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2020-04-10 07:37:03-05",18,18,"Fresh green, red, orange bell peppers includes organic and non-organic.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"193","CUSR0000SEHC01","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Owners' Equivalent Rent of Primary Residence in U.S. City Average","1983-01-01","2023-11-01","Monthly","M","Index Dec 1982=100","Index Dec 1982=100","Seasonally Adjusted","SA","2023-12-12 07:42:09-06",18,20,NA
"194","CWUR0000SA0R","2023-12-17","2023-12-17","Consumer Price Index for All Urban Wage Earners and Clerical Workers: Purchasing Power of the Consumer Dollar in U.S. City Average","1913-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Not Seasonally Adjusted","NSA","2023-12-12 07:41:12-06",18,18,NA
"195","CPIOGSSL","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Other Goods and Services in U.S. City Average","1967-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Seasonally Adjusted","SA","2023-12-12 07:41:11-06",18,19,NA
"196","CUSR0000SEHB","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Lodging Away from Home in U.S. City Average","1997-12-01","2023-11-01","Monthly","M","Index Dec 1997=100","Index Dec 1997=100","Seasonally Adjusted","SA","2023-12-12 07:42:08-06",18,30,NA
"197","CPIRECSL","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Recreation in U.S. City Average","1993-01-01","2023-11-01","Monthly","M","Index Dec 1997=100","Index Dec 1997=100","Seasonally Adjusted","SA","2023-12-12 07:42:08-06",18,21,NA
"198","CUSR0000SEMC","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Professional Services in U.S. City Average","1980-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Seasonally Adjusted","SA","2023-12-12 07:42:07-06",18,19,NA
"199","APU0000704312","2023-12-17","2023-12-17","Average Price: Ham, Boneless, Excluding Canned (Cost per Pound/453.6 Grams) in U.S. City Average","1991-01-01","2023-11-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2023-12-12 09:04:19-06",18,18,"Bone-less ham, regardless of cut, skin status, cure status, process status, or smoke status. Excludes canned ham.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"200","COREFLEXCPIM679SFRBATL","2023-12-17","2023-12-17","Flexible Price Consumer Price Index less Food and Energy","1967-03-01","2023-11-01","Monthly","M","3-Month Annualized Percent Change","3-Month Annualized % Chg.","Seasonally Adjusted","SA","2023-12-12 12:01:09-06",17,36,"The Flexible Price Consumer Price Index (CPI) is calculated from a subset of goods and services included in the CPI that change price relatively frequently. Because flexible prices are quick to change, it assumes that when these prices are set, they incorporate less of an expectation about future inflation. Evidence suggests that this flexible price measure is more responsive to changes in the current economic environment or the level of economic slack.

To obtain more information about this release see: Michael F. Bryan, and Brent H. Meyer. “Are Some Prices in the CPI More Forward Looking Than Others? We Think So.” Economic Commentary (Federal Reserve Bank of Cleveland) (May 19, 2010): 1–6. https://doi.org/10.26509/frbc-ec-201002 (https://doi.org/10.26509/frbc-ec-201002)."
"201","CPGREN01USM657N","2023-12-17","2023-12-17","Consumer Price Index: OECD Groups: Energy (Fuel, Electricity, and Gasoline): Total for United States","1960-01-01","2023-10-01","Monthly","M","Growth rate previous period","Growth rate previous period","Not Seasonally Adjusted","NSA","2023-12-12 14:48:08-06",17,23,"OECD Descriptor ID: CPGREN01
OECD unit ID: PC
OECD country ID: USA

All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database), https://dx.doi.org/10.1787/data-00052-en (Accessed on date) Copyright, 2016, OECD. Reprinted with permission"
"202","CPIMEDNS","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Medical Care in U.S. City Average","1935-03-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Not Seasonally Adjusted","NSA","2023-12-12 07:42:10-06",17,55,NA
"203","PCU3261403261405","2023-12-17","2023-12-17","Producer Price Index by Industry: Polystyrene Foam Product Manufacturing: Consumer and Institutional Polystyrene Foam Products","1982-12-01","2023-11-01","Monthly","M","Index Dec 1982=100","Index Dec 1982=100","Not Seasonally Adjusted","NSA","2023-12-13 07:56:10-06",17,17,NA
"204","APUS23A72610","2023-12-17","2023-12-17","Average Price: Electricity per Kilowatt-Hour in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)","1978-11-01","2023-11-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2023-12-12 09:05:03-06",17,17,"All electricity.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"205","CUUR0000SAS2RS","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Rent of Shelter in U.S. City Average","1982-12-01","2023-11-01","Monthly","M","Index Dec 1982=100","Index Dec 1982=100","Not Seasonally Adjusted","NSA","2023-12-12 07:41:12-06",16,42,NA
"206","CUUR0000SAM2","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Medical Care Services in U.S. City Average","1935-03-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Not Seasonally Adjusted","NSA","2023-12-12 07:42:09-06",16,60,NA
"207","CUSR0000SETC","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Motor Vehicle Parts and Equipment in U.S. City Average","1991-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Seasonally Adjusted","SA","2023-12-12 07:41:11-06",16,37,NA
"208","CPIENGNS","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Energy in U.S. City Average","1957-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Not Seasonally Adjusted","NSA","2023-12-12 07:41:12-06",16,64,"Handbook of Methods - (https://www.bls.gov/opub/hom/pdf/cpihom.pdf) Understanding the CPI: Frequently Asked Questions - (http://stats.bls.gov:80/cpi/cpifaq.htm)"
"209","CUUR0000SEHD","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Tenants' and Household Insurance in U.S. City Average","1997-12-01","2023-11-01","Monthly","M","Index Dec 1997=100","Index Dec 1997=100","Not Seasonally Adjusted","NSA","2023-12-12 07:42:08-06",16,16,NA
"210","APUS48A72620","2023-12-17","2023-12-17","Average Price: Utility (Piped) Gas per Therm in Phoenix-Mesa-Scottsdale, AZ (CBSA)","2018-01-01","2023-11-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2023-12-12 09:05:04-06",16,16,"All piped gas.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"211","CUUR0000SEFJ","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Dairy and Related Products in U.S. City Average","1935-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Not Seasonally Adjusted","NSA","2023-12-12 07:42:09-06",16,19,NA
"212","CUUR0000SEHE","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Fuel Oil and Other Fuels in U.S. City Average","1935-03-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Not Seasonally Adjusted","NSA","2023-12-12 07:42:10-06",16,34,NA
